序号,产品图,名称,电池型号/节数,单位,价格,数量,规格,金额,建议价,市值,条码,重量KG
T-A-003,/product_images/image_row_0008.jpg,Double one双一 003柔滑透薄8只装,无,盒,6.5,,8只/盒,=G8*F8,45,=J8*G8,6901691877817,0.045
T-A-004,/product_images/image_row_0009.jpg,Double one双一 003铂金版12只装,无,盒,7.15,,12只/盒,=G9*F9,45,=J9*G9,6901691870573,0.05
T-A-005,/product_images/image_row_0010.jpg,Double one双一 003无感超薄家庭装10只装,无,盒,6.5,,10只/盒,=G10*F10,45,=J10*G10,6901691205207,0.045
T-A-006,/product_images/image_row_0011.jpg,Double one双一 透明质酸水膜套3只装,无,盒,3.9,,3只/盒,=G11*F11,28,=J11*G11,6901691876698,0.018
T-A-007,/product_images/image_row_0012.jpg,Double one双一 003铂金版3只装,无,盒,3.25,,3只/盒,=G12*F12,25,=J12*G12,6901691877800,0.018
T-A-008,/product_images/image_row_0013.jpg,Double one双一 003赠品1只装,无,盒,1.105,,1只/盒,=G13*F13,16,=J13*G13,无条码,0.01
T-A-009,/product_images/image_row_0014.jpg,Double one双一 至久至爱 超薄动感颗粒10只装,无,盒,7.8,,10只/盒,=G14*F14,45,=J14*G14,6901691877992,0.048
T-A-010,/product_images/image_row_0015.jpg,Double one双一 超薄超滑 无感3只装（茉莉香）,无,盒,2.47,,3只/盒,=G15*F15,28,=J15*G15,6901691868891,0.018
T-A-011,/product_images/image_row_0016.jpg,Double one双一 超薄超滑 无感3只装（玫瑰香）,无,盒,2.47,,3只/盒,=G16*F16,28,=J16*G16,6901691872317,0.018
T-A-012,/product_images/image_row_0017.jpg,Double one双一 超薄超滑 无感激情8只装,无,盒,4.875,,8只/盒,=G17*F17,35,=J17*G17,6901691275613,0.045
T-A-013,/product_images/image_row_0018.jpg,Double one双一 超薄超滑 无感12只装（玫瑰香）,无,盒,6.5,,12只/盒,=G18*F18,45,=J18*G18,6901691868877,0.05
T-A-014,/product_images/image_row_0019.jpg,MOMO-陌陌002三合一恃久 10只装,无,盒,4.03,,10只/盒,=G19*F19,45,=J19*G19,6926418801067,0.05
T-A-015,/product_images/image_row_0020.jpg,MOMO-陌陌002冰感螺纹-潮 10只装,无,盒,4.03,,10只/盒,=G20*F20,45,=J20*G20,6926418801081,0.05
T-A-016,/product_images/image_row_0021.jpg,MOMO-走火入MO3D动感大颗粒,无,盒,4.225,,10只/盒,=G21*F21,48,=J21*G21,6926418800237,0.05
T-A-017,/product_images/image_row_0022.jpg,MOMO-走火入MO倍润爽滑,无,盒,4.225,,10只/盒,=G22*F22,48,=J22*G22,6926418800220,0.05
T-A-018,/product_images/image_row_0023.jpg,MOMO-陌陌激情恃久小风车 2只装,无,盒,1.885,,2只/盒,=G23*F23,18,=J23*G23,6926418801227,0.02
T-A-022,/product_images/image_row_0024.jpg,MOMO-陌陌凸感大颗粒 3只装,无,盒,2.405,,3只/盒,=G24*F24,18,=J24*G24,6926418801111,0.02
T-A-023,/product_images/image_row_0025.jpg,MOMO-陌陌恃久滋润清爽 3只装,无,盒,2.405,,3只/盒,=G25*F25,18,=J25*G25,6926418801104,0.02
T-A-025,/product_images/image_row_0026.jpg,MOMO-陌陌002玻尿酸-超薄 10只装,无,盒,4.03,,10只/盒,=G26*F26,45,=J26*G26,6926418801050,0.045
T-A-026,/product_images/image_row_0027.jpg,MOMO-陌陌十万+颗粒 10只装,无,盒,4.03,,10只/盒,=G27*F27,45,=J27*G27,6926418801074,0.05
T-A-027,/product_images/image_row_0028.jpg,Double one双一 少女情活力螺纹12只装,无,盒,4.875,,12只/盒,=G28*F28,38,=J28*G28,6901691275965,0.045
T-A-028,/product_images/image_row_0029.jpg,Double one双一 少女情激情光面12只装,无,盒,4.875,,12只/盒,=G29*F29,38,=J29*G29,6901691275941,0.045
T-A-029,/product_images/image_row_0030.jpg,Double one双一 浓情超爽润滑10只装,无,盒,4.55,,10只/盒,=G30*F30,35,=J30*G30,6901691868044,0.045
T-A-030,/product_images/image_row_0031.jpg,Double one双一 浓情敏感颗粒10只装,无,盒,4.55,,10只/盒,=G31*F31,35,=J31*G31,6901691868068,0.045
T-A-031,/product_images/image_row_0032.jpg,Double one双一 浓情浪漫螺纹10只装,无,盒,4.55,,10只/盒,=G32*F32,35,=J32*G32,6901691868051,0.045
T-A-032,/product_images/image_row_0033.jpg,第六感 超薄爽滑3只装 超薄丝滑亲密贴合,无,盒,3.1005,,3只/盒,=G33*F33,25,=J33*G33,6932564454699,0.02
T-A-033,/product_images/image_row_0034.jpg,第六感 超薄倍润3只装 加量润滑自由畅想,无,盒,3.1005,,3只/盒,=G34*F34,25,=J34*G34,6932564454675,0.02
T-A-034,/product_images/image_row_0035.jpg,第六感 超薄爽滑12只装,无,盒,7.735,,12只/盒,=G35*F35,38,=J35*G35,6932564454682,0.045
T-A-035,/product_images/image_row_0036.jpg,第六感 超薄倍润12只装,无,盒,7.735,,12只/盒,=G36*F36,38,=J36*G36,6932564454668,0.045
T-A-036,/product_images/image_row_0037.jpg,第六感 超薄紧型3只装（LJ3-TJ）,无,盒,4.55,,3只/盒,=G37*F37,18,=J37*G37,6932564451063,0.03
T-A-036.1,/product_images/image_row_0038.jpg,第六感 超薄紧型12只装（LJ12-TJ）,无,盒,11.7,,12只/盒,=G38*F38,38,=J38*G38,6932564451070,0.04
T-A-036.2,/product_images/image_row_0039.jpg,第六感 趣指爱10只装（LZ10-YKS）,无,盒,8.19,,12只/盒,=G39*F39,38,=J39*G39,6932564454323,0.04
T-A-037,/product_images/image_row_0040.jpg,第六感 G潮颗粒多3只装 （LBK3X-TJ）,无,盒,3.77,,3只/盒,=G40*F40,18,=J40*G40,6932564457133,0.03
